Date (MM/DD/YYYY),Time (HH:mm:ss),Time (Fract. Sec),Site Name,Chlorophyll RFU,Cond µS/cm,Depth m,fDOM QSU,fDOM RFU,nLF Cond µS/cm,ODO % sat,ODO % CB,ODO mg/L,Pressure psi a,Sal psu,SpCond µS/cm,TAL PE RFU,TDS mg/L,Turbidity FNU,TSS mg/L,pH,pH mV,Temp °C,Vertical Position m,GPS Latitude °,GPS Longitude °,Altitude m,Battery V,Cable Pwr V,Barometer mmHg
7/12/23,14:26:28,0,<None>,1.14,55274.8,0.194,5.4,1.8,50744.3,92.1,91.8,5.87,0.281,33.5,51192.6,3.16,33275,5.17,0,8.09,-65.4,29.175,0.199,34.21632,-77.79323,-6,0,12,762.3
7/12/23,14:26:29,0,<None>,1.15,55275.1,0.193,5.36,1.79,50743.7,92.1,91.8,5.87,0.281,33.5,51192.1,3.14,33275,5.19,0,8.09,-65.4,29.176,0.194,34.21632,-77.79323,-5,0,12,762.2
7/12/23,14:26:30,0,<None>,1.14,55275.2,0.193,5.31,1.77,50742.8,92.1,91.8,5.87,0.28,33.5,51191.3,3.11,33274,5.23,0,8.09,-65.4,29.177,0.193,34.21632,-77.79323,-4.5,0,12,762.2
7/12/23,14:26:31,0,<None>,1.14,55275.2,0.193,5.29,1.76,50741.8,92.1,91.7,5.87,0.281,33.5,51190.4,3.09,33274,5.26,0,8.09,-65.4,29.178,0.191,34.21632,-77.79323,-4.1,0,12,762.2
7/12/23,14:26:32,0,<None>,1.15,55275.2,0.194,5.28,1.76,50741,92.1,91.7,5.87,0.281,33.5,51189.7,3.08,33273,5.21,0,8.09,-65.4,29.179,0.199,34.21631,-77.79323,-3.6,0,12,762.3
7/12/23,14:26:33,0,<None>,1.13,55274.9,0.194,5.25,1.75,50740.2,92,91.7,5.87,0.281,33.5,51188.9,3.05,33273,5.2,0,8.09,-65.4,29.179,0.194,34.21631,-77.79323,-2.6,0,12,762.2
7/12/23,14:26:34,0,<None>,1.13,55275.3,0.194,5.22,1.74,50739.6,92,91.7,5.86,0.281,33.5,51188.4,3.05,33272,5.13,0,8.09,-65.4,29.18,0.2,34.21631,-77.79323,-2.1,0,12,762.1
7/12/23,14:26:35,0,<None>,1.14,55275.3,0.194,5.24,1.75,50738.7,92,91.7,5.86,0.281,33.5,51187.6,3.04,33272,5.13,0,8.09,-65.4,29.181,0.187,34.21632,-77.79323,-2,0,12,762.2
7/12/23,14:26:36,0,<None>,1.13,55275,0.194,5.3,1.77,50737.9,92,91.7,5.86,0.281,33.49,51186.9,3.01,33271,5.16,0,8.09,-65.4,29.181,0.191,34.21632,-77.79323,-2.1,0,12,762.3
7/12/23,14:26:37,0,<None>,1.14,55274.9,0.194,5.31,1.77,50737.8,92,91.7,5.86,0.281,33.49,51186.7,3.02,33271,5.14,0,8.09,-65.4,29.182,0.198,34.21632,-77.79323,-2.1,0,12,762.2
7/12/23,14:26:38,0,<None>,1.14,55274.8,0.194,5.28,1.76,50737.5,92,91.7,5.86,0.281,33.49,51186.5,3.02,33271,5.13,0,8.09,-65.4,29.182,0.191,34.21632,-77.79323,-2,0,12,762.3
7/12/23,14:26:39,0,<None>,1.15,55275,0.193,5.25,1.75,50737.5,92,91.7,5.86,0.28,33.49,51186.5,3,33271,5.1,0,8.09,-65.4,29.182,0.185,34.21632,-77.79323,-2,0,12,762.2
7/12/23,14:26:40,0,<None>,1.36,55274.7,0.193,5.27,1.76,50737.6,92,91.6,5.86,0.28,33.49,51186.6,3.01,33271,5.11,0,8.09,-65.4,29.182,0.192,34.21632,-77.79323,-1.8,0,12,762.2
7/12/23,14:26:41,0,<None>,1.13,55274.6,0.193,5.31,1.77,50737.7,92,91.6,5.86,0.281,33.49,51186.7,3.02,33271,5.11,0,8.09,-65.4,29.181,0.201,34.21632,-77.79323,-2,0,12,762.1
7/12/23,14:26:42,0,<None>,1.25,55274.1,0.193,5.29,1.76,50738.1,91.9,91.6,5.86,0.281,33.49,51187,3.03,33272,5.11,0,8.09,-65.4,29.18,0.195,34.21632,-77.79323,-1.7,0,12,762.3
7/12/23,14:26:43,0,<None>,1.28,55273.8,0.193,5.23,1.74,50738.5,91.9,91.6,5.86,0.28,33.49,51187.3,3.02,33272,5.11,0,8.09,-65.4,29.18,0.188,34.21632,-77.79323,-1.4,0,12,762.2
7/12/23,14:26:44,0,<None>,1.28,55273.1,0.193,5.26,1.75,50738.7,91.9,91.6,5.86,0.28,33.49,51187.4,2.99,33272,5.08,0,8.09,-65.4,29.179,0.196,34.21632,-77.79323,-1,0,12,762.3
7/12/23,14:26:45,0,<None>,1.25,55272.1,0.193,5.31,1.77,50738.1,91.9,91.6,5.86,0.28,33.49,51186.8,2.97,33271,5.05,0,8.09,-65.4,29.179,0.201,34.21632,-77.79323,-0.7,0,12,762.3
7/12/23,14:26:46,0,<None>,1.22,55272,0.193,5.3,1.77,50738.2,91.9,91.6,5.86,0.28,33.49,51186.9,2.97,33271,5.09,0,8.09,-65.4,29.178,0.194,34.21632,-77.79323,-0.5,0,12,762.2
7/12/23,14:26:47,0,<None>,1.13,55271.4,0.193,5.26,1.75,50738.2,91.9,91.5,5.85,0.28,33.49,51186.7,2.95,33271,5.11,0,8.09,-65.4,29.178,0.19,34.21632,-77.79323,-0.1,0,12,762.2
7/12/23,14:26:48,0,<None>,1.46,55270.6,0.193,5.24,1.75,50738.1,91.8,91.5,5.85,0.28,33.49,51186.6,2.97,33271,5.08,0,8.09,-65.3,29.177,0.194,34.21632,-77.79322,-0.2,0,12,762.2
7/12/23,14:26:49,0,<None>,0.86,55269.4,0.193,5.29,1.76,50737.3,91.8,91.5,5.85,0.28,33.49,51185.7,2.99,33271,5.16,0,8.09,-65.3,29.177,0.193,34.21632,-77.79322,-0.1,0,12,762.3
7/12/23,14:26:50,0,<None>,1.46,55268.8,0.193,5.33,1.78,50736.4,91.8,91.5,5.85,0.28,33.49,51184.9,2.99,33270,5.16,0,8.09,-65.3,29.177,0.192,34.21632,-77.79322,0.1,0,12,762.1
7/12/23,14:26:51,0,<None>,1.42,55268.7,0.193,5.31,1.77,50736.1,91.8,91.5,5.85,0.28,33.49,51184.6,3.01,33270,5.19,0,8.09,-65.3,29.178,0.197,34.21632,-77.79322,0.2,0,12,762.1
7/12/23,14:26:52,0,<None>,1.25,55268.5,0.193,5.27,1.76,50735.8,91.8,91.4,5.85,0.28,33.49,51184.3,3.04,33270,5.2,0,8.09,-65.3,29.178,0.196,34.21632,-77.79322,0.1,0,12,762.1
7/12/23,14:26:53,0,<None>,1.13,55268.3,0.193,5.29,1.76,50734.7,91.7,91.4,5.85,0.28,33.49,51183.4,3.02,33269,5.19,0,8.09,-65.3,29.179,0.193,34.21632,-77.79322,-0.2,0,12,762.2
7/12/23,14:26:54,0,<None>,1.1,55268.2,0.193,5.33,1.78,50734.2,91.7,91.4,5.85,0.28,33.49,51182.9,3.01,33269,5.24,0,8.09,-65.3,29.179,0.193,34.21632,-77.79322,-0.5,0,12,762.2
7/12/23,14:26:55,0,<None>,1.11,55268,0.193,5.34,1.78,50733.1,91.7,91.4,5.84,0.28,33.49,51181.8,3.04,33268,5.27,0,8.09,-65.3,29.18,0.194,34.21633,-77.79323,-0.3,0,12,762.1
7/12/23,14:26:56,0,<None>,1.12,55268,0.193,5.31,1.77,50732.4,91.7,91.4,5.84,0.28,33.49,51181.3,3.04,33268,5.25,0,8.09,-65.3,29.181,0.196,34.21633,-77.79323,0,0,12,762.2
7/12/23,14:26:57,0,<None>,1.14,55268.1,0.193,5.29,1.76,50731.8,91.7,91.4,5.84,0.28,33.49,51180.7,3.04,33267,5.27,0,8.09,-65.3,29.181,0.191,34.21633,-77.79323,0.2,0,12,762.1
7/12/23,14:26:58,0,<None>,1.14,55268.6,0.193,5.31,1.77,50731.9,91.7,91.4,5.84,0.28,33.49,51180.8,3.01,33268,5.2,0,8.09,-65.3,29.182,0.191,34.21633,-77.79323,-0.2,0,12,762.1
7/12/23,14:26:59,0,<None>,1.15,55268.8,0.193,5.34,1.78,50732.6,91.7,91.3,5.84,0.28,33.49,51181.5,2.98,33268,5.17,0,8.09,-65.3,29.181,0.196,34.21633,-77.79324,-0.1,0,12,762.2
7/12/23,14:27:00,0,<None>,1.15,55268.8,0.193,5.35,1.78,50734.3,91.6,91.3,5.84,0.28,33.49,51183,2.99,33269,5.12,0,8.09,-65.3,29.179,0.184,34.21634,-77.79324,0,0,12,762.2
7/12/23,14:27:01,0,<None>,1.15,55268.9,0.193,5.32,1.77,50736.5,91.6,91.3,5.84,0.28,33.49,51185,2.96,33270,5.07,0,8.09,-65.3,29.177,0.19,34.21634,-77.79324,0.3,0,12,762.1
7/12/23,14:27:02,0,<None>,1.16,55268.7,0.193,5.32,1.77,50738.2,91.6,91.3,5.84,0.28,33.49,51186.5,2.98,33271,5.11,0,8.09,-65.3,29.175,0.192,34.21634,-77.79324,0,0,12,762.2
7/12/23,14:27:03,0,<None>,1.2,55268.1,0.193,5.35,1.78,50739.9,91.6,91.3,5.84,0.279,33.5,51187.9,3.03,33272,5.13,0,8.09,-65.3,29.173,0.189,34.21634,-77.79324,0.2,0,12,762.2
7/12/23,14:27:04,0,<None>,1.24,55266.6,0.192,5.35,1.78,50740.7,91.6,91.3,5.84,0.279,33.5,51188.5,3.07,33273,5.12,0,8.09,-65.4,29.171,0.183,34.21634,-77.79324,0.3,0,12,762.3
7/12/23,14:27:05,0,<None>,1.26,55264.8,0.192,5.34,1.78,50742,91.6,91.3,5.84,0.279,33.5,51189.5,3.09,33273,5.15,0,8.09,-65.4,29.168,0.188,34.21634,-77.79324,0.3,0,12,762.2
7/12/23,14:27:06,0,<None>,1.27,55263.1,0.192,5.34,1.78,50743.6,91.6,91.2,5.84,0.279,33.5,51190.8,3.13,33274,5.2,0,8.09,-65.4,29.165,0.193,34.21634,-77.79324,0.1,0,12,762.2
7/12/23,14:27:07,0,<None>,1.29,55260.3,0.192,5.34,1.78,50745.3,91.5,91.2,5.84,0.279,33.5,51192,3.17,33275,5.31,0,8.09,-65.4,29.16,0.19,34.21634,-77.79325,-0.1,0,12,762.3
7/12/23,14:27:08,0,<None>,1.31,55257.6,0.192,5.33,1.78,50746.9,91.5,91.2,5.83,0.278,33.5,51193.1,3.21,33276,5.36,0,8.09,-65.4,29.157,0.179,34.21634,-77.79325,-0.2,0,12,762.1
7/12/23,14:27:09,0,<None>,1.35,55255,0.192,5.32,1.77,50747.8,91.5,91.2,5.83,0.278,33.5,51193.7,3.28,33276,5.38,0,8.09,-65.4,29.153,0.188,34.21634,-77.79325,-0.5,0,12,762.3
7/12/23,14:27:10,0,<None>,1.38,55252.3,0.191,5.32,1.77,50749,91.5,91.2,5.83,0.278,33.5,51194.5,3.31,33276,5.44,0,8.09,-65.4,29.15,0.189,34.21634,-77.79325,-0.6,0,12,762.1
7/12/23,14:27:11,0,<None>,1.42,55249.8,0.191,5.34,1.78,50750.2,91.4,91.1,5.83,0.277,33.5,51195.3,3.33,33277,5.46,0,8.09,-65.4,29.146,0.182,34.21634,-77.79326,-0.6,0,12,762.2
7/12/23,14:27:12,0,<None>,1.44,55247.6,0.19,5.34,1.78,50751.1,91.4,91.1,5.83,0.276,33.5,51195.9,3.39,33277,5.55,0,8.09,-65.4,29.144,0.18,34.21635,-77.79326,-0.7,0,12,762.2
7/12/23,14:27:13,0,<None>,1.45,55245.2,0.19,5.31,1.77,50750.7,91.4,91.1,5.83,0.276,33.5,51195.3,3.44,33277,5.64,0,8.09,-65.4,29.142,0.183,34.21635,-77.79326,-0.6,0,12,762.2
7/12/23,14:27:14,0,<None>,1.45,55242.8,0.191,5.28,1.76,50749.8,91.4,91,5.83,0.276,33.5,51194.2,3.46,33276,5.73,0,8.09,-65.5,29.14,0.197,34.21635,-77.79326,-0.6,0,12,762.1
7/12/23,14:27:15,0,<None>,1.45,55241,0.19,5.26,1.75,50749.1,91.3,91,5.82,0.276,33.5,51193.4,3.48,33276,5.75,0,8.09,-65.5,29.139,0.191,34.21634,-77.79326,-0.2,0,12,762.2
7/12/23,14:27:16,0,<None>,1.46,55240.1,0.19,5.3,1.77,50749.3,91.3,91,5.82,0.276,33.5,51193.5,3.53,33276,5.76,0,8.09,-65.5,29.139,0.189,34.21634,-77.79326,0.3,0,12,762.1
7/12/23,14:27:17,0,<None>,1.46,55239.9,0.191,5.32,1.77,50750,91.3,91,5.82,0.276,33.5,51194.1,3.57,33276,5.76,0,8.09,-65.5,29.137,0.196,34.21634,-77.79326,0.7,0,12,762.2
7/12/23,14:27:18,0,<None>,1.46,55239.7,0.191,5.3,1.77,50750.7,91.3,90.9,5.82,0.276,33.5,51194.7,3.63,33277,5.74,0,8.09,-65.5,29.137,0.188,34.21635,-77.79326,1,0,12,762.2
7/12/23,14:27:19,0,<None>,1.46,55239.4,0.19,5.25,1.75,50750.7,91.2,90.9,5.82,0.276,33.5,51194.7,3.61,33277,5.71,0,8.09,-65.5,29.136,0.187,34.21635,-77.79326,0.9,0,12,762.1
7/12/23,14:27:20,0,<None>,1.43,55239.2,0.19,5.23,1.74,50750.7,91.2,90.9,5.82,0.276,33.5,51194.6,3.64,33277,5.64,0,8.09,-65.5,29.136,0.189,34.21635,-77.79326,0.8,0,12,762.2
7/12/23,14:27:21,0,<None>,1.4,55238.6,0.19,5.27,1.76,50751,91.2,90.9,5.82,0.275,33.5,51194.9,3.66,33277,5.58,0,8.09,-65.5,29.135,0.184,34.21635,-77.79326,0.6,0,12,762.3
7/12/23,14:27:22,0,<None>,1.38,55237.8,0.19,5.3,1.77,50752,91.2,90.9,5.81,0.275,33.5,51195.6,3.68,33277,5.52,0,8.09,-65.5,29.134,0.185,34.21634,-77.79326,0.8,0,12,762.2
7/12/23,14:27:23,0,<None>,1.36,55236.8,0.19,5.31,1.77,50753.1,91.2,90.8,5.81,0.275,33.5,51196.6,3.65,33278,5.48,0,8.09,-65.5,29.131,0.198,34.21634,-77.79326,1.2,0,12,762.1
7/12/23,14:27:24,0,<None>,1.35,55235.5,0.19,5.27,1.76,50754.3,91.2,90.8,5.81,0.275,33.5,51197.5,3.61,33278,5.4,0,8.09,-65.5,29.129,0.193,34.21634,-77.79327,1.3,0,12,762.3
7/12/23,14:27:25,0,<None>,1.32,55234.2,0.19,5.24,1.75,50754.5,91.1,90.8,5.81,0.275,33.5,51197.5,3.56,33278,5.35,0,8.09,-65.5,29.128,0.189,34.21634,-77.79327,1.6,0,12,762.1
7/12/23,14:27:26,0,<None>,1.33,55232.2,0.189,5.24,1.75,50754.7,91.1,90.8,5.81,0.275,33.5,51197.5,3.56,33278,5.32,0,8.09,-65.5,29.126,0.184,34.21634,-77.79327,1.7,0,12,762.2
7/12/23,14:27:27,0,<None>,1.3,55230.9,0.189,5.27,1.76,50755.8,91.1,90.8,5.81,0.274,33.5,51198.3,3.52,33279,5.24,0,8.09,-65.5,29.124,0.189,34.21634,-77.79327,1.6,0,12,762.1
7/12/23,14:27:28,0,<None>,1.31,55230,0.189,5.3,1.77,50756.9,91.1,90.7,5.81,0.274,33.51,51199.2,3.5,33279,5.19,0,8.1,-65.5,29.122,0.185,34.21634,-77.79327,1.5,0,12,762.1
7/12/23,14:27:29,0,<None>,1.72,55229,0.189,5.31,1.77,50758.1,91,90.7,5.81,0.274,33.51,51200.2,3.49,33280,5.13,0,8.1,-65.5,29.12,0.181,34.21634,-77.79327,1.5,0,12,762.2
7/12/23,14:27:30,0,<None>,1.3,55227.1,0.188,5.3,1.77,50758.3,91,90.7,5.8,0.273,33.51,51200.2,3.5,33280,5.11,0,8.1,-65.5,29.118,0.183,34.21634,-77.79327,1.6,0,12,762.2
7/12/23,14:27:31,0,<None>,1.27,55225.3,0.188,5.29,1.76,50758.3,91,90.7,5.8,0.273,33.51,51200,3.47,33280,5.13,0,8.09,-65.5,29.116,0.192,34.21634,-77.79327,1.7,0,12,762.2
7/12/23,14:27:32,0,<None>,1.02,55222.9,0.188,5.29,1.76,50758.6,90.9,90.6,5.8,0.273,33.51,51200.1,3.45,33280,5.11,0,8.09,-65.5,29.113,0.185,34.21635,-77.79327,1.7,0,12,762.2
7/12/23,14:27:33,0,<None>,1.08,55221.6,0.188,5.3,1.77,50759.2,90.9,90.6,5.8,0.272,33.51,51200.4,3.44,33280,5.1,0,8.09,-65.5,29.112,0.181,34.21635,-77.79328,1.6,0,12,762.1
7/12/23,14:27:34,0,<None>,1.21,55220.2,0.188,5.3,1.77,50759.5,90.9,90.6,5.8,0.272,33.51,51200.6,3.47,33280,5.11,0,8.09,-65.5,29.11,0.186,34.21635,-77.79328,1.6,0,12,762.1
7/12/23,14:27:35,0,<None>,1.26,55219.3,0.187,5.31,1.77,50760,90.9,90.5,5.8,0.272,33.51,51200.9,3.47,33281,5.13,0,8.09,-65.5,29.109,0.185,34.21635,-77.79328,1.6,0,12,762.1
7/12/23,14:27:36,0,<None>,1.3,55218.3,0.187,5.32,1.77,50760.1,90.8,90.5,5.79,0.272,33.51,51200.9,3.43,33281,5.14,0,8.09,-65.5,29.108,0.184,34.21635,-77.79328,1.4,0,12,762.1
7/12/23,14:27:37,0,<None>,1.33,55217.6,0.187,5.35,1.78,50760.1,90.8,90.5,5.79,0.271,33.51,51200.8,3.39,33281,5.14,0,8.09,-65.5,29.107,0.189,34.21635,-77.79329,1.4,0,12,762.2
7/12/23,14:27:38,0,<None>,1.34,55216.7,0.187,5.38,1.79,50760.5,90.8,90.4,5.79,0.271,33.51,51201,3.43,33281,5.12,0,8.09,-65.5,29.106,0.184,34.21635,-77.79329,1.2,0,12,762.2
7/12/23,14:27:39,0,<None>,1.34,55215.6,0.187,5.39,1.8,50760.8,90.7,90.4,5.79,0.271,33.51,51201.3,3.45,33281,5.16,0,8.09,-65.5,29.105,0.184,34.21635,-77.79329,1.1,0,12,762.2
7/12/23,14:27:40,0,<None>,1.23,55214.4,0.187,5.38,1.79,50760.7,90.7,90.4,5.79,0.271,33.51,51201,3.47,33281,5.15,0,8.09,-65.5,29.104,0.184,34.21635,-77.79329,1.1,0,12,762.1
7/12/23,14:27:41,0,<None>,1.24,55212.5,0.186,5.35,1.78,50760.4,90.6,90.3,5.78,0.27,33.51,51200.5,3.47,33280,5.13,0,8.09,-65.5,29.102,0.181,34.21635,-77.79329,1.1,0,12,762.1
7/12/23,14:27:42,0,<None>,1.33,55209.6,0.186,5.33,1.78,50759.7,90.6,90.3,5.78,0.27,33.51,51199.6,3.49,33280,5.15,0,8.09,-65.5,29.101,0.181,34.21635,-77.7933,1,0,12,762.2
7/12/23,14:27:43,0,<None>,1.05,55207.1,0.186,5.35,1.78,50759,90.6,90.2,5.78,0.27,33.51,51198.7,3.55,33279,5.17,0,8.09,-65.5,29.099,0.186,34.21636,-77.7933,0.9,0,12,762.2
7/12/23,14:27:44,0,<None>,1.46,55204.4,0.186,5.4,1.8,50758.1,90.5,90.2,5.78,0.27,33.51,51197.6,3.58,33278,5.12,0,8.09,-65.5,29.097,0.192,34.21635,-77.7933,1.1,0,12,762.1
7/12/23,14:27:45,0,<None>,1.33,55201.9,0.186,5.44,1.81,50757.2,90.5,90.1,5.77,0.27,33.5,51196.6,3.59,33278,5.09,0,8.09,-65.5,29.096,0.189,34.21635,-77.7933,1.1,0,12,762.2
7/12/23,14:27:46,0,<None>,1.51,55199,0.186,5.47,1.82,50756.1,90.4,90.1,5.77,0.27,33.5,51195.4,3.59,33277,5.01,0,8.09,-65.5,29.094,0.181,34.21635,-77.7933,0.9,0,12,762.1
7/12/23,14:27:47,0,<None>,0.92,55196.4,0.186,5.47,1.82,50754.8,90.4,90.1,5.77,0.27,33.5,51193.9,3.57,33276,4.96,0,8.09,-65.5,29.093,0.187,34.21635,-77.7933,1,0,12,762.1
7/12/23,14:27:48,0,<None>,1.11,55193.1,0.186,5.44,1.81,50752.8,90.3,90,5.76,0.27,33.5,51191.7,3.57,33275,4.95,0,8.09,-65.5,29.092,0.191,34.21635,-77.7933,1.3,0,12,762.1
7/12/23,14:27:49,0,<None>,1.29,55190.1,0.187,5.4,1.8,50751.1,90.3,90,5.76,0.271,33.5,51189.9,3.58,33273,4.96,0,8.09,-65.5,29.091,0.191,34.21635,-77.7933,1.5,0,12,762.2
7/12/23,14:27:50,0,<None>,1.4,55186.4,0.187,5.38,1.79,50749,90.3,89.9,5.76,0.271,33.5,51187.6,3.6,33272,4.9,0,8.09,-65.5,29.09,0.182,34.21635,-77.7933,1.6,0,12,762.1
7/12/23,14:27:51,0,<None>,1.41,55183.2,0.187,5.39,1.8,50746.9,90.2,89.9,5.76,0.271,33.5,51185.5,3.6,33271,4.86,0,8.09,-65.5,29.089,0.192,34.21635,-77.7933,1.6,0,12,762.1
7/12/23,14:27:52,0,<None>,1.41,55179.8,0.187,5.42,1.81,50744.8,90.2,89.9,5.76,0.271,33.49,51183.2,3.6,33269,4.82,0,8.09,-65.5,29.088,0.193,34.21636,-77.7933,1.7,0,12,762.1
7/12/23,14:27:53,0,<None>,1.42,55176.9,0.187,5.47,1.82,50743,90.2,89.8,5.75,0.271,33.49,51181.3,3.6,33268,4.84,0,8.09,-65.5,29.087,0.184,34.21636,-77.7933,1.9,0,12,762.1
7/12/23,14:27:54,0,<None>,1.42,55174.5,0.186,5.5,1.83,50741.8,90.1,89.8,5.75,0.27,33.49,51179.9,3.6,33267,4.76,0,8.09,-65.5,29.086,0.174,34.21636,-77.79331,1.8,0,12,762.3
7/12/23,14:27:55,0,<None>,1.44,55172.1,0.186,5.52,1.84,50740.6,90.1,89.8,5.75,0.269,33.49,51178.6,3.66,33266,4.76,0,8.1,-65.5,29.085,0.178,34.21636,-77.79331,1.7,0,12,762.2
7/12/23,14:27:56,0,<None>,1.46,55170.2,0.185,5.52,1.84,50739.5,90.1,89.8,5.75,0.269,33.49,51177.4,3.7,33265,4.75,0,8.1,-65.5,29.085,0.18,34.21636,-77.79331,1.4,0,12,762.1
7/12/23,14:27:57,0,<None>,1.46,55168.5,0.185,5.5,1.83,50738.3,90.1,89.8,5.75,0.269,33.49,51176.2,3.69,33265,4.74,0,8.1,-65.5,29.084,0.182,34.21636,-77.79331,1.3,0,12,762.1
7/12/23,14:27:58,0,<None>,1.49,55166.8,0.185,5.47,1.82,50737.1,90.1,89.8,5.75,0.269,33.49,51175,3.7,33264,4.71,0,8.1,-65.5,29.084,0.183,34.21636,-77.79331,1.3,0,12,762.1
7/12/23,14:27:59,0,<None>,1.48,55165.7,0.185,5.47,1.82,50736.5,90.1,89.7,5.75,0.268,33.49,51174.3,3.71,33263,4.74,0,8.1,-65.5,29.084,0.178,34.21636,-77.79332,1.3,0,12,762.1
7/12/23,14:28:00,0,<None>,1.48,55164.9,0.185,5.49,1.83,50736,90,89.7,5.75,0.268,33.49,51173.8,3.7,33263,4.76,0,8.1,-65.5,29.083,0.18,34.21637,-77.79332,1.1,0,12,762.1
7/12/23,14:28:01,0,<None>,1.47,55164.5,0.184,5.5,1.83,50735.7,90,89.7,5.75,0.268,33.49,51173.5,3.66,33263,4.84,0,8.1,-65.5,29.083,0.18,34.21637,-77.79332,1.1,0,12,762.2
7/12/23,14:28:02,0,<None>,1.45,55164.3,0.184,5.51,1.84,50735.7,90,89.7,5.75,0.267,33.49,51173.4,3.64,33263,4.88,0,8.1,-65.6,29.083,0.184,34.21637,-77.79333,1,0,12,762.1
7/12/23,14:28:03,0,<None>,1.47,55164.1,0.184,5.51,1.84,50735.7,90,89.7,5.74,0.267,33.49,51173.4,3.66,33263,4.84,0,8.1,-65.6,29.083,0.181,34.21637,-77.79333,1.1,0,12,762.2
7/12/23,14:28:04,0,<None>,1.46,55163.7,0.184,5.51,1.84,50735.2,90,89.7,5.74,0.267,33.49,51172.9,3.64,33262,4.85,0,8.1,-65.6,29.083,0.181,34.21637,-77.79333,1.3,0,12,762.1
7/12/23,14:28:05,0,<None>,1.87,55163.5,0.184,5.51,1.84,50734.8,90,89.7,5.74,0.267,33.49,51172.5,3.63,33262,4.88,0,8.1,-65.6,29.083,0.19,34.21637,-77.79333,1.4,0,12,762.2
7/12/23,14:28:06,0,<None>,1.55,55162.8,0.184,5.52,1.84,50733.8,90,89.6,5.74,0.267,33.49,51171.6,3.64,33262,4.91,0,8.1,-65.6,29.084,0.192,34.21637,-77.79333,1.3,0,12,762.1
7/12/23,14:28:07,0,<None>,1.47,55162.5,0.184,5.51,1.84,50733.2,89.9,89.6,5.74,0.267,33.49,51171,3.63,33261,4.9,0,8.1,-65.6,29.084,0.184,34.21637,-77.79333,1.5,0,12,762.1
7/12/23,14:28:08,0,<None>,1.54,55162.5,0.184,5.53,1.84,50732.9,89.9,89.6,5.74,0.267,33.49,51170.8,3.64,33261,4.83,0,8.1,-65.6,29.084,0.185,34.21637,-77.79333,1.6,0,12,762.1
7/12/23,14:28:09,0,<None>,1.54,55162,0.184,5.53,1.84,50732.5,89.9,89.6,5.74,0.267,33.49,51170.3,3.64,33261,4.81,0,8.1,-65.6,29.084,0.19,34.21637,-77.79333,1.6,0,12,762.1
7/12/23,14:28:10,0,<None>,1.48,55161,0.184,5.52,1.84,50731.8,89.9,89.6,5.74,0.267,33.48,51169.6,3.61,33260,4.79,0,8.1,-65.6,29.084,0.192,34.21637,-77.79333,1.8,0,12,762.2
7/12/23,14:28:11,0,<None>,1.42,55160.1,0.184,5.52,1.84,50731.1,89.9,89.6,5.74,0.267,33.48,51168.9,3.63,33260,4.75,0,8.1,-65.6,29.084,0.181,34.21637,-77.79333,1.8,0,12,762.2
7/12/23,14:28:12,0,<None>,1.4,55158.4,0.184,5.51,1.84,50729.7,89.9,89.6,5.74,0.267,33.48,51167.5,3.64,33259,4.71,0,8.1,-65.6,29.084,0.186,34.21638,-77.79333,1.8,0,12,762.1
7/12/23,14:28:13,0,<None>,1.42,55157,0.184,5.5,1.83,50728.4,89.9,89.6,5.74,0.267,33.48,51166.1,3.64,33258,4.68,0,8.1,-65.6,29.084,0.189,34.21638,-77.79333,1.7,0,12,762.2
7/12/23,14:28:14,0,<None>,1.42,55155,0.185,5.49,1.83,50726.9,89.9,89.6,5.74,0.268,33.48,51164.6,3.61,33257,4.62,0,8.1,-65.6,29.083,0.189,34.21638,-77.79334,1.5,0,12,762.1
7/12/23,14:28:15,0,<None>,1.43,55153,0.184,5.49,1.83,50725.3,89.9,89.6,5.74,0.268,33.48,51163,3.58,33256,4.56,0,8.1,-65.6,29.083,0.185,34.21638,-77.79334,1.7,0,12,762.1
7/12/23,14:28:16,0,<None>,1.42,55151.2,0.184,5.5,1.83,50723.5,89.9,89.6,5.74,0.268,33.48,51161.1,3.57,33255,4.46,0,8.1,-65.6,29.083,0.185,34.21638,-77.79334,1.5,0,12,762.1
7/12/23,14:28:17,0,<None>,1.42,55149.5,0.184,5.54,1.85,50722.2,89.9,89.5,5.74,0.268,33.48,51159.8,3.57,33254,4.42,0,8.1,-65.6,29.083,0.184,34.21638,-77.79334,1.5,0,12,762.1
7/12/23,14:28:18,0,<None>,1.43,55147.5,0.185,5.58,1.86,50720.8,89.8,89.5,5.73,0.268,33.48,51158.3,3.56,33253,4.43,0,8.1,-65.6,29.083,0.187,34.21638,-77.79334,1.5,0,11.9,762.1
7/12/23,14:28:19,0,<None>,1.43,55146.3,0.184,5.61,1.87,50720.2,89.8,89.5,5.73,0.267,33.48,51157.7,3.57,33253,4.41,0,8.1,-65.6,29.082,0.182,34.21638,-77.79335,1.4,0,11.9,762.1
7/12/23,14:28:20,0,<None>,1.44,55144.4,0.184,5.62,1.87,50719.1,89.8,89.5,5.73,0.267,33.48,51156.5,3.59,33252,4.38,0,8.1,-65.6,29.081,0.178,34.21638,-77.79335,1.3,0,11.9,762.1
